,"31.343864,74.053087","31.343864,74.111927","31.343864,74.170768","31.343864,74.229608","31.343864,74.288449","31.343864,74.347289","31.343864,74.406129","31.343864,74.46497","31.383926,74.053087","31.383926,74.111927","31.383926,74.170768","31.383926,74.229608","31.383926,74.288449","31.383926,74.347289","31.383926,74.406129","31.383926,74.46497","31.423989,74.053087","31.423989,74.111927","31.423989,74.170768","31.423989,74.229608","31.423989,74.288449","31.423989,74.347289","31.423989,74.406129","31.423989,74.46497","31.464052,74.053087","31.464052,74.111927","31.464052,74.170768","31.464052,74.229608","31.464052,74.288449","31.464052,74.347289","31.464052,74.406129","31.464052,74.46497","31.504114,74.053087","31.504114,74.111927","31.504114,74.170768","31.504114,74.229608","31.504114,74.288449","31.504114,74.347289","31.504114,74.406129","31.504114,74.46497","31.544177,74.053087","31.544177,74.111927","31.544177,74.170768","31.544177,74.229608","31.544177,74.288449","31.544177,74.347289","31.544177,74.406129","31.544177,74.46497","31.584239,74.053087","31.584239,74.111927","31.584239,74.170768","31.584239,74.229608","31.584239,74.288449","31.584239,74.347289","31.584239,74.406129","31.584239,74.46497","31.624302,74.053087","31.624302,74.111927","31.624302,74.170768","31.624302,74.229608","31.624302,74.288449","31.624302,74.347289","31.624302,74.406129","31.624302,74.46497"
1215,1.625794763,0.369942427,2.560145804,6.809582829,2.343173187,3.34560289,14.87189322,2.320317435,2.515267115,7.0,0.369942427,5.9629866520000006,7.228845607,3.34560289,14.87189322,2.320317435,6.8507948889999986,2.515267115,1.124640302,5.951138119,2.044491412,14.87189322,2.320317435,10.82824671,4.672573996000001,6.8507948889999986,0.612047573266037,3.822382989,0.7433799329999999,4.317955754,3.329803876,9.088523418,2.494352811,4.672573996000001,7.0,4.0364139428847015,5.288900003999999,7.992349565,4.339290317,6.0,7.569556284,5.945091958,6.0,4.166769998,11.66674308,5.76451354,2.264273756,9.0,9.0,13.96519635,2.388075288,6.415109744,4.081365291,1.345611087,6.953089676,8.0,10.0,13.18086841,8.704399537,5.7325285999999975,14.35958212,4.618418171,7.274444552,8.0
1216,0.7749202442080874,1.7898870399547495,6.629326643,2.189288789,11.45568793,1.041670185,9.850712463999999,4.962600814177798,2.788687226758805,13.392226419715106,1.627588255,2.189288789,11.45568793,1.946025226,9.31108904,5.003242398285926,2.887217852,3.330970865,5.036857524,0.6655919929999999,6.09442126,7.705205632999999,0.441262689,5.255546721,2.063062649,0.8566493480509627,0.4128392281808281,3.435776085,4.297871201,2.758660079,2.6540234499789177,11.0,2.156574640741752,5.481978437054571,11.0,2.0531882533548096,7.862588391,8.0,9.0,10.0,0.504906639,0.351779745,0.198652851,8.852445753,5.0,2.329390409,3.319556877,9.0,14.81893472,13.61666596,14.82286374,10.0,12.69723289,2.329390409,5.337190833,9.0,14.81893472,13.61666596,14.82286374,10.0,12.69723289,4.726707994,6.798105222999999,11.0
1217,8.804567624,0.816689862,0.040048567,12.79345515,11.0,11.78759034,6.0,1.638675458,7.0,7.0,3.9500611170861584,10.278519500000002,8.0,11.78759034,12.79431686,1.638675458,10.3310172,3.624917299,6.251035757,3.525073407,2.831495949,7.160583627,2.4893387570330106,3.366722667,4.7925833760000005,9.0,0.55519813,11.9391887,5.001774988999999,8.347409312,6.06741407,9.652449517,8.123247339,0.182748445,7.0,11.15657389,7.154015475,9.994220454,4.639489925,11.34771885,14.24095073,1.776195713,5.0,3.4775148380000003,5.306618405,7.125113043,1.061455841,2.131699148,13.24731275,5.327533581,10.0,4.459958291,3.771664342,7.888121762999999,7.073482277999999,4.581832327,13.24731275,10.51314524,10.90113539,6.3829834110000006,5.095011438,5.92448283,4.227304889,2.227175428
1218,5.555442185,0.119607448,1.6399021480000002,11.47118863,10.59960064382644,13.0150828,10.0,11.0,10.99127694,10.0,0.818237895,10.04677732,9.258696809,10.17248956,9.0,8.0,9.864140302000001,0.681221243,0.817324035,8.075798978,5.005375715,12.83307101,0.813341467,11.06833923,8.737004246,6.0,0.00880945996822763,6.104820641,1.716455154,1.275219693,8.617512999,6.424029707000001,11.55384351,7.0,7.0,0.651051378,2.21754628,1.162196786,0.20595473600000005,13.93866027,8.0,10.08059015,9.0,3.543608473,0.148293739,8.403038955,1.992603392,6.0,9.0,11.22352085,4.335845879,1.596523362,1.914360619,2.528928453,8.431635797,10.0,8.0,12.5823589,7.894723676,1.986741408,14.05551943,2.367482812,6.668504792999999,13.65528675
1219,9.0,5.22147282,9.0,11.90572708,7.0,3.072432734,7.0,9.0,7.0,5.22147282,9.0,11.0,7.0,6.273088563,5.056123322,8.0,6.720396189,6.0,6.0,5.533754066,12.0,6.8155361810000015,11.0,11.0,4.885745584,5.0,1.08885703,7.0,8.0,11.0,7.0,12.6665982,4.856982559,12.0,5.936041091139715,0.238991342,5.671445397,1.35543698,1.177231435,8.277913173,3.512859403,5.0,6.0,8.0,6.0,11.0,3.6021246335666977,1.2899418766340718,2.197499125,10.0,6.0,11.0,5.0,12.97048992,1.3339773540000002,6.0,2.197499125,7.0,9.0,12.0,7.0,10.0,2.363775099,12.53705897
1220,13.07121213,2.571045378,0.7826968790000001,12.45243941,0.099316239,7.075782433,8.0,6.452216767,5.0,12.601595053352478,0.7826968790000001,12.45243941,10.0,9.690888178,8.951787591,6.452216767,9.026991954,7.0,13.82086971,4.105126427,5.0,5.726060567,3.031097585,6.460240692999999,0.739520183,7.0,0.599553617,11.0,6.0,1.647722092,7.502054796,6.468264619,2.54306331,2.54306331,0.105264844,7.643159875,8.780284789,2.117255353,2.809510333,9.552422313,6.878261338,6.878261338,2.139703865,1.415738661,5.430330639,14.23717062,1.3535705947700507,3.3263055760806286,11.21345907,11.21345907,5.478547537000001,3.509082599,1.365630596,14.41426609,4.010879544,5.855601302999999,11.21345907,11.21345907,3.895187983,3.509082599,1.365630596,11.0,2.604643466,2.352765068
1221,10.0,3.756900551,10.8484074,1.353601401,0.796503882,1.760855375,1.923854434,0.330906587,13.65996563,9.0,5.928117316,1.353601401,0.796503882,1.760855375,1.923854434,6.0,2.172819596,7.0,5.841174861,7.115141635,4.648967297,5.956895184,0.731804685,8.0,11.32362562,8.314533042999999,7.413165877000001,2.679313184,8.581668371000001,3.880260629,6.0,8.552854834,3.337748349,5.740619381,4.939706414,9.331163601,2.471068874,2.331127326,2.70075459,6.1918270820000005,6.772811757,2.361245861,5.504842847999999,8.097730461,9.113888373,0.345705703,1.476342586,8.613945184,5.372939049,2.838674118,5.528157926,7.609904277999999,12.97953539,4.6224229879207295,5.4978736439999984,6.0,3.824745654,3.977844317,5.698646419,7.63400807,11.42802066,9.010280352,5.142047589,12.0
1222,6.0,6.315188947999999,10.0,6.680310471,12.0,0.919978096,6.0,7.0,7.0,9.0,9.0,5.0,8.0,3.080925089,2.311940216,8.0,4.179561529,11.0,11.0,6.329348544,5.0,7.047629716,14.00239936,10.0,9.202327972,11.0,3.348963801,6.0,7.0,9.0,7.0,13.6356628,1.700777211,11.0,1.924050878106924,3.082924664,1.73222681,2.314323591,1.462358636,7.249333929,8.049719036,12.29357332,8.0,5.0,11.0,10.05290879,3.415166748829996,4.077803844,0.703538003,8.0,8.0,5.0,10.0,0.23033328,1.132925467,11.0,0.7051284329999999,8.0,12.0,8.0,3.299710515,7.0,3.283357302,11.0
1223,5.192258395,7.400450413,2.439304662,2.768860722,10.57240646,9.711693274,8.850980084,6.814078079,2.984066668,6.711451224,11.45978344,12.0,6.697359495,5.55317034,7.83252879,6.814078079,2.416343747,0.529627483,7.944058405,9.461288116,1.3946478430000002,1.84135363,3.421579022,6.814078079,9.915138945,0.56024983,8.78019009,6.554220992,0.199806909,2.467009763,7.506276450739382,2.731486165,2.288599208,1.047427326,9.404804966,6.784241977000001,0.950044559,4.967036075,4.1808033710000005,2.89060059,5.028318847,0.148372392,0.768129394,0.431421395,5.358824856,7.958953502000001,10.30733227,6.299301749,11.10578491,3.450673627,2.771043219,4.417161108,5.921754637,8.280723123,10.75497712,5.269200774,1.951045775,0.430145046,4.844941432,5.6106870760000005,6.484684418,7.8714586560000015,9.040090954,6.785021978
1224,7.0,6.0,10.0,9.0,5.967073375,5.827418946,0.7748421727397701,0.3685823429178218,8.2420744,9.0,10.0,9.0,5.967073375,3.425112421,4.4462433,14.69727028,1.468502014,1.468502014,8.2420744,8.2420744,2.441960387,3.929402899,2.1593913559696443,5.0,11.48333158,0.7982937447790909,9.352844467,1.468502014,3.354914267809645,1.2736382998321825,6.391805364,3.081163741,1.0591378059999998,4.926873813012411,8.827251592,9.781938913,1.930686663,2.7629856630000003,3.928281951,4.830535135,5.207632002,3.0324042422401565,2.9871066319399366,0.6150158753108808,5.592414136,3.2923297710000003,9.677221532999999,8.155495743,9.391801389,0.002579969288599881,3.0906448464578227,1.28691483,4.852850859,0.986709929,12.66552834,5.0,3.854256322,0.5889411511413306,0.3416175915942331,2.714092867,14.51866848,0.247143835,7.718503475,10.0
