date,Ravi River,Shamkay Bhattian,Bahria Town School and College,Kot Arain,Jhedu Minor,Jinnah Sector LDA City,Institute of Southern Lahore,Badhwar,Ravi River,Khudpur,Bahria Town Marquee,"Barkat Ali MArket, Riwind Rd",Bakra Mandi Defence Road,Lahore Ring Road Kahna Interchange,Ahlu Rd,Mallian Road,Sultan Pur,Thathan Naulan,Model Baraz Chung,Bilal Town LDA Avenue,Wapda Town Phase 1,Pak-Arab Housing Scheme,Deo Kalan,Thethar Rd,Nizampura,Sharaqpur,Ravi River Katar Band South,General Bus Stand Thoker Niaz Baig,Johar Town Park,Pak Electron Limited (PEL) Walton Road,Khyaban-e-Jinnah Rd Sector G,Defence Raya Golf Resort Jamia Masjid,Qillah Sharief,Canal Upper Chenab,Shadhanwali Forest Reserve 2,Shahdiwal,Qasim Ali Shah Foundation Wahdat Road,Gulberg III Block C3,Allama Iqbal International Airport,Lahore School of Economics Shabbir Sharif Rd,Chak 22,West Minister Farmhouse,Katal Lahore-Jaranwala Rd,Burj Near Ravi River,Samanabad Town,Punjab Board of Investment & Trade PBIT,Al-Faisal Town,Paragon City,Chak 10,Budho Sharif,Burj Attari Stadium,Lahore Multan Motorway Interchange,Bund Road Khokhar Town,Shaheen Park Shad Bagh,Sue Wala Road Shalimar Housing Scheme,Lahore Medical and Dental College,Dhamoke Sheikhupura Rd,Pind Road Sheikhpura,Kala Shah Kaku,Kot Abdul Malik,Shahdara,Jhuggian Jodha,Sialkot Lahore Motorway,Natt Kalan
7/21/2022,16.18905258,16.57953977,16.14296219,15.99678579,14.46679155,13.72139894,12.78598296,12.20913457,13.78211336,15.25272382,15.06983614,15.59100592,14.40902134,13.5506059,13.22836819,12.14207898,13.91503411,13.49951723,14.88923622,15.7727362,16.12614876,14.91330048,13.91966317,12.1320142,12.71128438,13.27319234,15.59185313,15.16315363,16.08650713,16.30593668,14.62556525,13.14803343,12.89512864,13.0185604,15.06073704,14.98497288,18.05254533,16.79775532,14.09887035,12.09699906,13.53202057,15.98073522,16.88699411,15.46057615,17.36943918,16.81014155,14.04580914,12.52577699,13.81980023,14.41615717,14.26947102,16.3129397,16.64096056,16.06705066,14.19977258,13.86607487,13.85599727,14.75333769,14.20909058,16.36076139,15.97266892,15.91645894,14.38165072,13.71990522
7/20/2022,16.19268081,16.58359227,16.1463404,15.9988185,14.46857376,13.72221884,12.78619838,12.20927332,13.78203914,15.25265571,15.06979524,15.59098947,14.40897973,13.5505942,13.2283435,12.1420603,13.91504472,13.49944146,14.88911607,15.77268365,16.12607186,14.91315446,13.91962006,12.1320761,12.71128472,13.27314676,15.59157656,15.16299867,16.0862958,16.30561921,14.6253794,13.14808132,12.89512927,13.01855488,15.06043449,14.984807,18.0522216,16.79747797,14.09863559,12.09692017,13.53196008,15.98062978,16.88686129,15.46040663,17.36919246,16.80980509,14.0455285,12.52552731,13.81973106,14.41607156,14.26939477,16.31279743,16.64076199,16.06676222,14.19948444,13.86600186,13.85595024,14.75315928,14.20899279,16.36062937,15.97249108,15.9162712,14.38135737,13.7197801
7/19/2022,16.19631618,16.58764874,16.14971722,16.00085523,14.47036181,13.7230354,12.78641004,12.20941272,13.7819779,15.25259469,15.06976086,15.59097302,14.40894409,13.55059296,13.2283215,12.14206467,13.91504886,13.49936242,14.88899556,15.77262608,16.12599242,14.91301017,13.91957826,12.13213077,12.71127763,13.27310086,15.59132287,15.16284625,16.08609768,16.3053201,14.62520685,13.14812701,12.89512199,13.01854063,15.0601343,14.98464513,18.05191268,16.79721898,14.09842511,12.09685018,13.5318913,15.98051847,16.88670638,15.46024308,17.36896264,16.8094923,14.04527664,12.52530119,13.81965547,14.41597614,14.26931145,16.31265957,16.64057833,16.06649813,14.19922772,13.86593869,13.85589192,14.75297362,14.2088898,16.36050261,15.97232936,15.91610729,14.38109392,13.71967126
7/18/2022,16.19992923,16.59168585,16.15308382,16.00288804,14.47214402,13.72384572,12.78661552,12.2095501,13.78192868,15.25253729,15.06973089,15.59095321,14.40891413,13.55060133,13.2282998,12.14208346,13.91504448,13.49928274,14.8888724,15.77256523,16.12591234,14.91286849,13.91953864,12.13217807,12.71126739,13.27305387,15.59109145,15.16269894,16.08591536,16.3050408,14.6250471,13.1481713,12.89510713,13.01851907,15.0598403,14.98449035,18.05162301,16.79697934,14.09823761,12.0967877,13.53181188,15.98039997,16.88653715,15.46008597,17.36875233,16.80920375,14.04505128,12.52509231,13.81957602,14.4158726,14.2692239,16.31252625,16.64041166,16.06625793,14.1990004,13.86588493,13.85582675,14.75278297,14.20878297,16.36038378,15.97218468,15.9159668,14.3808592,13.71957922
7/17/2022,16.2034821,16.59567363,16.15642825,16.0049054,14.4739088,13.72465298,12.78681961,12.20968443,13.7818857,15.25247833,15.06970287,15.59092592,14.40888417,13.55061151,13.22828533,12.14211817,13.91503003,13.49920491,14.88874581,15.77250163,16.12583398,14.91273074,13.91949886,12.13222051,12.71125614,13.27300458,15.5908792,15.16255888,16.08575063,16.30478264,14.62490229,13.14821714,12.89508838,13.01849232,15.05955496,14.98434437,18.05135648,16.79675994,14.0980719,12.0967304,13.53172622,15.98026795,16.88635227,15.45993867,17.3685638,16.80893978,14.04484985,12.52489601,13.81949291,14.41576638,14.26913652,16.3123958,16.64026331,16.06604149,14.19879944,13.86583966,13.8557553,14.75259322,14.20867675,16.3602713,15.97205794,15.91584996,14.3806518,13.71950406
7/16/2022,16.20697826,16.59960855,16.1597383,16.00689582,14.47564693,13.72545757,12.78702508,12.20981245,13.78185759,15.25242355,15.06968685,15.59089851,14.40885922,13.55062764,13.22828,12.14216008,13.91500624,13.49912789,14.88861427,15.77243274,16.12575613,14.91259669,13.91945865,12.13225762,12.71124225,13.27295132,15.59068512,15.16242254,16.08559842,16.30454277,14.62476912,13.14826506,12.89506501,13.01845917,15.05927855,14.98420429,18.05111231,16.79655713,14.09792372,12.09667594,13.53163461,15.98012461,16.88615492,15.45980055,17.36839542,16.80869657,14.0446676,12.52471049,13.8194066,14.41565802,14.26904947,16.31226883,16.64013045,16.06584627,14.19862085,13.86580375,13.85567696,14.75240521,14.20857067,16.36016631,15.97194693,15.91575388,14.38046797,13.71944509
7/15/2022,16.21042873,16.60348848,16.16299818,16.00884248,14.47733993,13.72626329,12.78723365,12.20993432,13.78184831,15.25237471,15.06969107,15.59088206,14.40885036,13.55065956,13.22828605,12.14220264,13.91497232,13.49904885,14.88847373,15.77235326,16.12567434,14.91246353,13.91941719,12.13229012,12.71122267,13.27289044,15.59050524,15.16228276,16.08545164,16.3043163,14.62464512,13.14831564,12.89503443,13.01841628,15.05900802,14.98406306,18.05088643,16.79636645,14.09778825,12.09662405,13.5315351,15.97996942,16.88594451,15.45966702,17.36824259,16.80846973,14.04450091,12.52453549,13.81931478,14.41554454,14.26895896,16.3121411,16.64000809,16.06566765,14.19846087,13.86577782,13.85558849,14.75221634,14.20846051,16.36006504,15.97184697,15.9156746,14.38030479,13.71939996
7/14/2022,16.21387129,16.607355,16.1662443,16.01078303,14.47902969,13.72706885,12.78744327,12.21006519,13.78182607,15.25232401,15.06969152,15.59086814,14.40884086,13.55068684,13.22829031,12.14224404,13.91493519,13.49897609,14.8883344,15.77226869,16.1255938,14.91233878,13.91938066,12.13232321,12.71120208,13.27282869,15.59034703,15.16214654,16.08531844,16.30410685,14.62453537,13.14836537,12.89499944,13.01836844,15.0587463,14.98392744,18.05067885,16.79619336,14.09767084,12.0965797,13.53143205,15.97981097,16.88573147,15.45953792,17.36811593,16.80827107,14.04435871,12.52437463,13.81922478,14.41543246,14.26887003,16.31201847,16.63990252,16.06551513,14.19832922,13.86575786,13.85549653,14.7520332,14.20835295,16.35997025,15.97176809,15.91562022,14.38016662,13.71936906
7/13/2022,16.21730036,16.61121004,16.16947755,16.01271901,14.48071721,13.72787435,12.78764922,12.21021337,13.78178055,15.25226071,15.0696777,15.59084762,14.40882665,13.55070578,13.22828975,12.1422838,13.91489724,13.49891089,14.8881982,15.77218125,16.1255155,14.91222281,13.91935059,12.13235822,12.71118093,13.27276646,15.59021303,15.1620135,16.08519646,16.30391481,14.62444137,13.14841538,12.89495996,13.01831608,15.05849427,14.9837952,18.0504891,16.79603727,14.09757211,12.09654505,13.53132609,15.97965268,16.88551777,15.45941059,17.36801304,16.8081005,14.04424317,12.52423099,13.81913694,14.41532147,14.26878059,16.31189836,16.63981075,16.06538842,14.19822811,13.86574194,13.85540136,14.75185685,14.20824579,16.35987916,15.971708,15.91559015,14.38005546,13.71935361
7/12/2022,16.22070201,16.61504707,16.17269414,16.01464758,14.48239949,13.7286836,12.78785976,12.21037527,13.78172116,15.25219011,15.06965544,15.59082121,14.40881072,13.55072159,13.22828819,12.14231965,13.91485753,13.4988519,14.88806554,15.77209315,16.12544117,14.91211631,13.91932568,12.13239131,12.7111605,13.27270615,15.59010923,15.161888,16.08509162,16.30374315,14.6243625,13.14846429,12.89491767,13.01826077,15.05825639,14.98367023,18.05031318,16.79590319,14.09750043,12.09652605,13.53121852,15.97949985,16.8853106,15.45928897,17.36792888,16.80796529,14.04416131,12.52411143,13.81905264,14.41521472,14.26869108,16.31178518,16.63973849,16.06529504,14.19816574,13.86573335,13.85530492,14.75169117,14.20814167,16.35979684,15.97166902,15.91559126,14.37997978,13.71935684
