date,"31.343864,74.053087","31.343864,74.111927","31.343864,74.170768","31.343864,74.229608","31.343864,74.288449","31.343864,74.347289","31.343864,74.406129","31.343864,74.46497","31.383926,74.053087","31.383926,74.111927","31.383926,74.170768","31.383926,74.229608","31.383926,74.288449","31.383926,74.347289","31.383926,74.406129","31.383926,74.46497","31.423989,74.053087","31.423989,74.111927","31.423989,74.170768","31.423989,74.229608","31.423989,74.288449","31.423989,74.347289","31.423989,74.406129","31.423989,74.46497","31.464052,74.053087","31.464052,74.111927","31.464052,74.170768","31.464052,74.229608","31.464052,74.288449","31.464052,74.347289","31.464052,74.406129","31.464052,74.46497","31.504114,74.053087","31.504114,74.111927","31.504114,74.170768","31.504114,74.229608","31.504114,74.288449","31.504114,74.347289","31.504114,74.406129","31.504114,74.46497","31.544177,74.053087","31.544177,74.111927","31.544177,74.170768","31.544177,74.229608","31.544177,74.288449","31.544177,74.347289","31.544177,74.406129","31.544177,74.46497","31.584239,74.053087","31.584239,74.111927","31.584239,74.170768","31.584239,74.229608","31.584239,74.288449","31.584239,74.347289","31.584239,74.406129","31.584239,74.46497","31.624302,74.053087","31.624302,74.111927","31.624302,74.170768","31.624302,74.229608","31.624302,74.288449","31.624302,74.347289","31.624302,74.406129","31.624302,74.46497"
5/31/2021,0.146777101,0.139634178,0.906608654,0.114826356,0.257259099,0.898359407,1.975434915,1.225783151,0.942157923,0.122140629,0.327465123,0.127039179,0.665335953,3.270479691,0.200181626,0.680985331,1.472384922,0.113372792,0.164944336,0.452206388,0.091847457,2.43207448,1.129200259,1.619946422,0.070454396,0.37018557,0.664611394,1.145709261,6.729644538,2.862279297,1.993598245,2.884983625,0.616657445,0.522295953,0.252122717,2.038126396,0.538716339,7.141061931,0.364561057,1.360563293,2.020164043,0.220361817,2.527369186,3.531814302,2.650649343,0.780451583,0.537094967,1.316117959,0.56383936,0.360006976,0.632448067,1.355027157,0.285237376,0.651764228,1.482798964,0.61407261,0.344559223,0.165177027,0.488327286,1.295862282,0.333697758,0.295350223,0.058530565,0.588375218
5/30/2021,0.069790639,0.642340632,0.572342766,1.096829948,0.701467649,2.611436902,2.993013462,0.145306767,2.825265193,1.900246002,0.894084701,0.172851352,1.756096277,4.12754404,0.754603009,0.530294445,1.739909632,0.369858038,0.125198738,0.192499501,3.034720647,2.771347757,0.562073064,0.472166968,0.164941774,1.329246816,0.512015398,1.133093507,6.596476572,2.769366404,2.069648136,2.35396248,0.791708582,0.1016756,0.373984907,0.643980451,0.470545044,6.844820425,0.089255113,1.611273103,1.482509092,0.100572944,3.756109765,5.541229112,4.110316015,2.731934391,0.063085146,0.334144069,0.153984834,0.071802472,0.335432196,1.576797953,3.489840292,2.439238553,1.475108741,0.581308585,0.049341472,0.071802472,0.420960608,1.736354293,2.869364262,1.904668593,0.570242965,0.041292891
5/29/2021,0.418824165,0.588825818,0.24232408,1.375407965,0.74325855,0.111109167,1.242044484,0.287545057,3.700440198,0.884922699,1.287717368,1.690512101,2.193912485,2.697312997,0.673188682,0.670803087,1.198446853,1.198446853,2.000317576,2.80218804,3.275773801,1.960487901,0.694885863,0.330056934,0.006554285,1.072414854,1.147606804,3.5987601,2.906980988,1.937262594,0.205598331,1.659323183,0.783275678,0.697561925,1.444546831,0.583548616,1.574420289,1.552065873,0.423303588,1.529711457,0.644762215,0.427768301,2.853308763,5.1621026,3.875154486,2.768007746,0.323176417,0.196353988,0.023247065,0.133520994,0.490400636,2.756400621,1.874897278,2.542173648,1.103995538,0.482643849,0.071567547,0.600229292,0.36658178,1.673229813,1.874897278,2.296104611,0.177796692,0.300740672
5/28/2021,1.148216474,1.40339881,0.846918057,3.454330832,1.278080219,0.780212135,1.315396386,1.585954136,0.893034206,1.148216474,1.148216474,4.949439311,2.266060855,1.551726789,2.625762312,1.585954136,1.68382547,4.386047424,0.893034206,5.688435569,3.947366812,3.584273268,3.936128375,2.782043351,0.242901206,0.802617622,0.887706503,0.676231619,2.4574752,4.355967661,0.609904924,3.110040177,1.955306876,3.423299702,4.398641458,10.1181137,0.447260458,0.543982167,2.24494848,3.600551384,0.487313983,1.955306876,5.206974849,8.554381984,6.45822964,3.849637863,0.871964214,0.962445519,0.487313983,0.487313983,2.12987192,5.856841738,5.932583498,4.362077569,2.145382758,0.701786552,0.487313983,2.605173767,2.802080587,3.705294174,3.58827259,4.197730708,2.55137012,1.981035897
5/27/2021,0.186992524,1.209481366,2.093389671,2.139722704,1.286981728,1.219965446,4.113010317,1.006652654,1.822778544,4.608831718,0.816914002,2.221348116,0.77435433,1.127950829,3.321808218,1.006652654,1.118879888,3.356502537,1.362897349,1.575792326,0.253700481,1.908731074,3.763693711,3.418533723,0.365150974,0.168560766,0.547020719,1.805158214,1.514961267,2.51994362,2.418420753,0.345223533,1.362124713,3.31442354,2.075176605,2.075578891,1.674015308,0.230227829,1.886704114,1.129338618,0.160224248,2.104369253,4.175708534,2.421604253,1.798417281,0.567043682,0.020913678,3.34679143,1.284345016,1.197250819,2.697966147,0.818709055,4.88134857,2.217635459,1.426953121,2.301414945,0.519705847,2.14919215,3.088072493,2.476792574,1.025725445,2.188682265,2.68224828,1.913624087
5/26/2021,0.490136126,0.854315708,2.404084482,0.567750246,1.37769793,0.214623151,2.565669115,1.012649612,0.384411413,2.450555396,0.686767986,0.290570627,1.456631573,1.215247913,2.752173476,1.706068736,1.012648425,1.065804606,0.207713826,0.527615946,0.146711953,0.350526379,0.116741935,2.031120404,0.564862952,0.034826625,1.555065765,1.077216675,1.303510478,0.410153585,2.021426813,1.419604867,0.420110631,1.876094062,0.376936648,1.793255663,0.728420595,0.711488228,0.869491275,0.980494432,0.14387373,2.224567461,1.895463344,1.037332401,1.004025795,0.264948077,0.654733245,2.035088176,0.849474848,0.945224784,2.192970104,1.893297935,2.041977466,0.897638422,0.634888597,1.678373863,0.255770514,0.920625386,1.612668897,1.249235486,0.220508309,0.912771848,1.065379042,0.768849139
5/25/2021,3.782144635,6.769927373,6.814633738,0.679752393,3.385832451,5.445763938,5.588608171,6.675066003,5.640275722,1.595220711,0.964564651,2.848816858,1.564072036,2.550934719,5.588608171,6.675066003,3.033850577,0.299008888,2.687106117,1.798989112,0.556300055,0.696028058,4.869294952,3.702259042,0.925134545,1.194609368,1.853834906,2.362965304,1.564424592,2.322817838,4.092308345,2.125979032,1.425531962,4.215995452,0.798108067,1.654401157,3.937960307,2.666743951,3.872629309,3.290501324,0.663707345,5.791530796,1.412014778,3.502178294,3.844668288,1.44090495,1.734620377,0.964369197,1.269701879,2.293684415,2.503526426,3.365331323,3.108580552,2.27177878,0.838141842,2.871780088,0.662764377,1.868145819,2.481688682,2.906112439,2.964843971,2.16594506,0.367578339,0.217646291
5/24/2021,0.01362391,5.789314793,5.501463486,1.331066061,2.587239172,1.822217523,6.437550801,5.835608462,0.417817326,0.485232844,0.759511654,3.404606065,2.133259463,0.861912977,1.444008758,0.324576111,3.010160544,0.100371276,2.578185768,1.805491503,1.227539078,0.806476075,0.963365377,1.451675359,1.189249749,3.353437687,0.329770274,1.90906781,0.775798227,5.090263779,3.403316516,1.24541165,1.287212532,3.270474658,0.883287156,3.664104279,2.248032493,2.558901441,2.869770151,0.80020318,1.292706351,0.692139671,3.88180659,5.692738701,3.018694879,1.58958682,0.202415587,0.714481008,3.046503929,3.689322726,2.452477489,1.08132326,1.855041478,2.921692317,0.075137673,1.13441489,3.046503929,3.689322726,2.452477489,1.404386698,2.237440309,1.397461706,0.90197357,0.102048136
5/12/2021,0.320521215,1.429578236,1.429578236,3.39978028,2.082812017,1.851455014,3.2715218,1.282528698,0.393644019,0.093737757,0.745606433,1.182708861,3.734235569,2.368785866,3.2715218,1.282528698,1.37279819,0.393644019,0.421971701,0.359850072,0.332586873,2.282864224,1.393227705,0.020996481,0.997796569,2.351952449,0.177190139,0.232671962,0.203033368,2.52773058,1.490583314,0.21426232,1.084399239,0.997796569,0.041222295,3.615192227,0.073479847,0.644246441,0.822735124,0.426491506,1.412813888,1.412813888,3.503437188,2.700038736,0.672917085,0.845443347,0.504887833,0.424461114,3.181987086,1.50279779,2.160471863,0.257696122,0.917367257,1.398739601,0.553557269,0.61082752,3.181987086,1.50279779,2.057482416,0.189312384,0.046016252,0.199981075,0.68135336,1.020880078
5/11/2021,0.806064513,2.655569347,1.041835703,3.748291681,6.032124834,0.348323827,3.299115537,2.180602177,0.973255678,2.052286508,0.919903886,1.185562411,7.943934128,1.119960646,3.242462224,2.110771977,2.267956631,0.171185385,0.813650441,0.206307215,0.597471258,0.730521673,2.381041445,2.549381143,2.188253112,3.419370269,0.500985867,0.284701739,1.001134297,0.982099355,2.120380991,3.145111034,1.80528124,0.799264393,0.653772082,6.722280223,0.613473422,0.473831413,1.433559239,2.935516049,3.514460833,4.576093649,7.427252435,3.798454733,1.225651374,2.088290793,4.878820144,2.088214024,2.350265805,0.82099205,5.557965604,0.264431354,2.300497758,1.226497965,4.658154783,2.631976169,0.807974428,0.161647533,5.453862393,1.549976724,0.012709911,0.804291141,0.065993904,0.52160247
