date,"31.343864,74.053087","31.343864,74.111927","31.343864,74.170768","31.343864,74.229608","31.343864,74.288449","31.343864,74.347289","31.343864,74.406129","31.343864,74.46497","31.383926,74.053087","31.383926,74.111927","31.383926,74.170768","31.383926,74.229608","31.383926,74.288449","31.383926,74.347289","31.383926,74.406129","31.383926,74.46497","31.423989,74.053087","31.423989,74.111927","31.423989,74.170768","31.423989,74.229608","31.423989,74.288449","31.423989,74.347289","31.423989,74.406129","31.423989,74.46497","31.464052,74.053087","31.464052,74.111927","31.464052,74.170768","31.464052,74.229608","31.464052,74.288449","31.464052,74.347289","31.464052,74.406129","31.464052,74.46497","31.504114,74.053087","31.504114,74.111927","31.504114,74.170768","31.504114,74.229608","31.504114,74.288449","31.504114,74.347289","31.504114,74.406129","31.504114,74.46497","31.544177,74.053087","31.544177,74.111927","31.544177,74.170768","31.544177,74.229608","31.544177,74.288449","31.544177,74.347289","31.544177,74.406129","31.544177,74.46497","31.584239,74.053087","31.584239,74.111927","31.584239,74.170768","31.584239,74.229608","31.584239,74.288449","31.584239,74.347289","31.584239,74.406129","31.584239,74.46497","31.624302,74.053087","31.624302,74.111927","31.624302,74.170768","31.624302,74.229608","31.624302,74.288449","31.624302,74.347289","31.624302,74.406129","31.624302,74.46497"
5/16/2021,1167.254808,1167.254808,1107.772723,1134.658354,1131.839776,1102.135464,1053.297652,1103.051303,1238.893338,1226.736892,1226.736892,1175.74873,1164.859246,1102.135464,1053.297652,1103.051303,1251.049679,1238.893338,1233.394232,1189.953476,1197.878612,1119.412763,1084.855973,1103.051303,1269.321077,1251.049679,1258.44328,1227.89523,1222.419185,1161.108969,1116.41419,1155.478388,1287.592371,1287.592371,1282.56908,1281.560268,1239.034621,1201.743669,1148.57761,1163.180642,1238.471156,1238.471156,1325.797389,1310.684734,1267.30335,1204.887178,1166.727655,1169.002593,1189.350047,1234.933848,1303.157571,1295.768666,1270.446859,1245.321639,1200.844316,1196.801454,1189.350047,1234.933848,1249.487107,1260.844997,1258.21132,1248.968511,1226.267755,1224.600212
5/15/2021,1143.333838,1143.333838,1137.432272,1131.530705,1170.605546,1170.605546,1209.680387,1206.776247,1129.56296,1129.56296,1143.333838,1143.333838,1178.536943,1209.680387,1209.680387,1206.776247,1151.164124,1115.791979,1129.56296,1129.56296,1186.46834,1219.641615,1213.567044,1206.776247,1186.536373,1151.164124,1115.791979,1115.791979,1180.802177,1229.602842,1220.357737,1213.567044,1185.188231,1186.536373,1186.536373,1183.660302,1175.136119,1234.480258,1191.980906,1182.089904,1183.840088,1185.188231,1185.188231,1192.184484,1216.156479,1216.156479,1163.603971,1162.050686,1183.840088,1183.840088,1183.840088,1189.396167,1197.832595,1182.189136,1172.896554,1153.582745,1183.840088,1183.840088,1183.840088,1180.696058,1179.080583,1182.920806,1161.574141,1166.545676
5/14/2021,1500.108644,1500.108644,1500.108644,1480.363576,1460.618508,1442.42996,1424.241412,1424.241412,1481.703997,1481.703997,1500.108644,1480.363576,1460.618508,1442.42996,1424.241412,1424.241412,1463.299349,1463.299349,1501.941783,1491.152679,1500.601362,1466.491275,1432.381187,1432.381187,1484.079941,1484.079941,1474.720578,1465.361214,1446.635809,1416.660616,1440.520857,1440.520857,1504.860637,1504.860637,1447.499476,1432.259207,1414.258794,1411.760244,1415.299952,1427.910405,1504.860637,1504.860637,1447.499476,1432.259207,1409.372613,1411.760244,1415.299952,1415.299952,1504.860637,1504.860637,1447.499476,1390.138316,1402.719134,1415.299952,1415.299952,1415.299952,1504.860637,1504.860637,1447.499476,1390.138316,1402.719134,1415.299952,1415.299952,1415.299952
5/13/2021,1131.070125,1131.070125,1141.511028,1169.218588,1186.48514,1189.62364,1218.602543,1235.885582,1145.424084,1145.424084,1141.511028,1169.218588,1186.48514,1189.62364,1218.602543,1235.885582,1159.778044,1159.778044,1237.1491,1190.478542,1188.70467,1191.002773,1218.602543,1235.885582,1197.593436,1178.68574,1227.584177,1201.732922,1189.354846,1192.381802,1299.971594,1239.697006,1186.945824,1207.806344,1218.019149,1165.435442,1186.147374,1242.07942,1287.745863,1225.332612,1176.298213,1186.774594,1207.635009,1153.375202,1184.457291,1237.982194,1275.520132,1176.465375,1176.298213,1186.774594,1184.929141,1174.043831,1204.42305,1236.951992,1201.825059,1164.900776,1176.298213,1182.331359,1184.748206,1184.761354,1230.634401,1236.951992,1217.138682,1191.007781
5/12/2021,1256.148621,1256.148621,1256.148621,1256.148621,1256.148621,1270.651481,1285.154237,1285.154237,1256.148621,1256.148621,1256.148621,1256.148621,1270.651481,1270.651481,1285.154237,1285.154237,1345.314357,1345.314357,1256.148621,1256.148621,1270.651481,1270.651481,1285.154237,1285.154237,1434.480199,1434.480199,1345.314357,1256.148621,1270.651481,1270.651481,1285.154237,1285.154237,1498.252652,1466.366478,1434.480199,1434.480199,1348.8549,1285.154237,1285.154237,1285.154237,1498.252652,1498.252652,1466.366478,1452.828395,1427.05832,1349.427965,1352.395339,1285.154237,1498.252652,1498.252652,1498.252652,1470.39494,1449.393032,1399.748421,1419.636442,1352.395339,1498.252652,1498.252652,1498.252652,1478.598469,1452.814099,1439.290312,1439.290312,1419.636442
5/11/2021,1192.916884,1225.191329,1263.302122,1338.216576,1361.330226,1394.421276,1394.421276,1394.421276,1170.890618,1220.040736,1264.112156,1331.180567,1361.330226,1394.421276,1394.421276,1394.421276,1170.890618,1220.040736,1177.763431,1199.533425,1334.530471,1407.755051,1401.088216,1401.088216,1170.890618,1177.763431,1177.763431,1199.533425,1267.080782,1271.183016,1271.183016,1407.755051,1170.890618,1177.763431,1177.763431,1199.533425,1134.610877,1134.610877,1134.610877,1271.183016,1170.890618,1177.763431,1177.763431,1199.533425,1164.568123,1149.589552,1149.589552,1149.589552,1170.890618,1177.763431,1177.763431,1164.568123,1164.568123,1164.568123,1164.568123,1164.568123,1177.763431,1177.763431,1177.763431,1164.568123,1164.568123,1164.568123,1164.568123,1164.568123
5/10/2021,1135.33086,1135.33086,1118.337067,1117.596528,1133.849886,976.503729,1051.381557,1121.875523,1135.33086,1135.33086,1118.337067,1117.596528,1133.849886,976.503729,1051.381557,1121.875523,1014.396859,1074.863859,1098.566956,1117.596528,1055.176808,976.503729,1126.25949,1121.875523,1052.000534,1014.396859,1095.790847,1109.692469,1117.054036,1105.385927,1216.638764,1121.875523,1089.604105,1065.272641,1078.544851,1173.698865,1178.931265,1270.643133,1307.018141,1223.383649,1078.355986,1079.353737,1061.298855,1223.803535,1261.636874,1306.540553,1354.331468,1306.063799,1067.107867,1102.906681,1151.981983,1216.896914,1296.062711,1342.437973,1394.950412,1404.495092,1067.107867,1102.906681,1154.697258,1210.412788,1292.655417,1327.226086,1361.95922,1393.763483
5/9/2021,1078.751977,1100.609726,1100.609726,1058.261361,1015.912997,1070.368556,1124.824115,1100.828121,1056.894124,1056.894124,1078.751977,1058.261361,1015.912997,1070.368556,1124.824115,1100.828121,1095.42616,1095.42616,1056.894124,1083.493327,1063.002711,1105.020822,1124.824115,1076.832231,1145.827692,1133.958301,1095.42616,1120.755062,1110.09253,1169.253648,1100.764157,1054.48938,1157.697188,1145.827692,1145.827692,1182.075191,1177.884159,1209.684561,1100.700089,1044.7502,1161.12869,1157.697188,1212.123322,1224.312323,1229.046995,1250.11537,1102.730546,995.7765296,1164.560297,1161.12869,1203.888384,1266.549455,1241.998761,1233.781666,1074.683968,959.4065297,1164.560297,1164.560297,1187.734467,1207.577724,1230.016259,1179.998196,1103.484545,1050.977428
5/8/2021,1149.191161,1143.471573,1137.751882,1137.751882,1137.751882,1137.751882,1181.052397,1181.052397,1145.807762,1149.191161,1149.191161,1143.471573,1137.751882,1137.751882,1181.052397,1181.052397,1142.424363,1145.807762,1145.807762,1149.191161,1143.471573,1169.346202,1181.052397,1224.352913,1147.449741,1142.424363,1142.424363,1145.807762,1149.191161,1157.640007,1169.346202,1224.352913,1152.475119,1152.475119,1147.449741,1142.424363,1142.424363,1154.122733,1157.640007,1192.786766,1152.475119,1152.475119,1152.475119,1147.449741,1147.449741,1150.605459,1154.122733,1170.700814,1152.475119,1152.475119,1152.475119,1152.475119,1148.344503,1152.326531,1155.313731,1164.419743,1152.475119,1152.475119,1152.475119,1152.475119,1148.344503,1149.225282,1149.191266,1157.203321
5/7/2021,1348.664783,1348.664783,1348.664783,1315.435162,1282.20554,1298.391283,1314.577025,1297.150408,1348.664783,1348.664783,1348.664783,1315.435162,1282.20554,1298.391283,1314.577025,1297.150408,1359.895163,1359.895163,1359.895163,1309.143866,1282.20554,1298.391283,1314.577025,1297.150408,1356.127252,1371.12544,1371.12544,1302.852465,1234.579491,1283.740461,1309.088354,1275.149601,1341.129064,1341.129064,1356.127252,1322.563308,1288.999468,1306.842215,1303.599683,1224.447137,1319.04979,1319.04979,1341.129064,1342.274255,1343.419445,1345.770034,1273.645358,1227.252671,1296.970516,1296.970516,1296.970516,1307.824627,1305.09203,1332.51744,1281.732125,1230.946707,1296.970516,1296.970516,1311.182148,1307.824627,1305.09203,1319.26495,1289.818788,1260.372626
5/6/2021,1182.709819,1182.709819,1181.803476,1186.809445,1322.495692,1313.02374,1231.073695,1158.595706,1188.622133,1188.622133,1214.817102,1246.924384,1322.495692,1313.02374,1231.073695,1158.595706,1190.503898,1190.503898,1247.830728,1408.082487,1509.12565,1405.367211,1325.787163,1169.312081,1179.100721,1192.385662,1162.785591,1346.727924,1452.357797,1507.182634,1420.500526,1230.359659,1165.81578,1179.100721,1131.592791,1285.373362,1396.561504,1446.172203,1298.890158,1264.792696,1183.543748,1133.107886,1100.399991,1208.42626,1340.790359,1283.678375,1263.961898,1201.740747,1201.271819,1177.695189,1127.259223,1210.142742,1285.019318,1242.794916,1193.969729,1188.296367,1201.271819,1190.915958,1187.760762,1205.525876,1213.529167,1233.627339,1154.129202,1156.127729
5/5/2021,1364.100074,1364.100074,1362.478233,1328.445883,1294.413533,1359.110591,1423.807649,1431.289734,1365.721914,1365.721914,1364.100074,1336.298812,1294.413533,1359.110591,1423.807649,1431.289734,1379.02115,1372.371532,1365.721914,1344.151741,1308.49755,1405.654996,1423.807649,1431.289734,1397.922586,1379.02115,1299.897404,1271.677717,1452.199296,1452.199296,1502.812337,1431.289734,1416.823917,1397.922586,1318.499368,1220.773762,1428.429523,1585.181433,1533.789037,1447.337637,1412.887591,1416.823917,1337.101332,1239.076151,1367.11722,1588.545737,1501.972461,1429.087629,1408.951371,1408.951371,1352.117885,1257.378644,1329.574691,1495.158186,1470.155885,1351.765928,1408.951371,1367.134437,1365.447903,1361.035659,1340.490053,1401.770635,1392.861,1367.858594
5/4/2021,1206.511001,1188.515075,1188.515075,1188.515075,1188.515075,1191.432885,1194.350694,1194.350694,1224.506823,1224.506823,1206.511001,1206.511001,1206.511001,1227.528039,1248.545286,1194.350694,1210.320025,1210.320025,1224.506823,1224.506823,1224.506823,1263.623297,1239.777352,1246.320225,1196.133331,1196.133331,1196.133331,1210.320025,1210.320025,1242.218616,1239.64452,1274.116999,1232.178086,1214.155761,1214.155761,1214.155761,1196.133331,1220.813831,1215.767375,1245.494331,1232.178086,1232.178086,1232.178086,1232.178086,1204.446945,1193.630085,1175.501745,1210.498038,1232.178086,1232.178086,1232.178086,1232.178086,1204.446945,1196.991363,1175.501745,1175.501745,1232.178086,1232.178086,1232.178086,1232.178086,1203.839968,1203.839968,1175.501745,1175.501745
5/3/2021,1211.627368,1211.627368,1246.37751,1252.978712,1224.829667,1281.172104,1337.51454,1252.606721,1216.674032,1216.674032,1253.931594,1252.978712,1224.829667,1281.172104,1295.060578,1252.606721,1221.720697,1221.720697,1301.250764,1343.516278,1305.305625,1331.986948,1349.495059,1340.321952,1234.128093,1265.149349,1302.374355,1338.526795,1374.679234,1373.272555,1403.92954,1428.037184,1258.445367,1276.807441,1303.497946,1333.537311,1365.149997,1366.723108,1388.838486,1404.404416,1282.762745,1284.801758,1289.98021,1296.150153,1336.4186,1354.407536,1364.337564,1380.771648,1282.762745,1284.801758,1288.879054,1273.282654,1307.687308,1339.471642,1361.181951,1361.181951,1282.762745,1287.169876,1288.879054,1273.282654,1307.687308,1342.091963,1361.181951,1361.181951
5/2/2021,1040.558124,1064.41127,1064.41127,1064.41127,1037.595654,1010.780039,1046.913279,1046.913279,1016.704978,1040.558124,1040.558124,1037.595654,1037.595654,1010.780039,1046.913279,1083.046624,1015.137189,1015.137189,1016.704978,1019.188816,997.8195079,1010.780039,1046.913279,1083.046624,1013.5694,1013.5694,1015.137189,1000.781978,984.8589767,997.8195079,1046.913279,1083.046624,1009.609388,1009.609388,1013.5694,1000.794708,986.4394964,1018.075138,1018.075138,1067.169013,1005.649377,1005.649377,1000.835089,1000.835089,988.02012,1008.24309,1037.009129,1051.291403,1005.649377,1005.649377,1000.875471,997.7968649,992.0607905,998.4108332,1019.157408,1030.046474,1005.649377,1005.649377,1000.875471,996.1574948,997.0209526,1000.399865,1005.605239,1008.80165
5/1/2021,1259.946479,1260.572343,1259.431013,1256.595949,1248.142304,1246.944732,1243.012163,1232.033464,1260.88684,1260.572343,1259.431013,1256.595949,1248.142304,1246.944732,1243.012163,1232.033464,1260.572343,1260.572343,1259.431013,1256.595949,1248.142304,1246.944732,1243.012163,1232.033464,1260.572343,1260.572343,1259.431013,1256.595949,1248.142304,1246.944732,1243.012163,1232.033464,1260.572343,1261.766471,1259.431013,1256.595949,1252.954608,1246.944732,1243.012163,1232.033464,1266.094822,1266.094822,1260.52424,1267.027252,1265.21206,1259.882203,1247.017461,1243.352225,1266.094822,1266.094822,1267.027252,1267.027252,1265.21206,1259.882203,1253.422493,1254.670985,1266.094822,1266.094822,1267.027252,1267.027252,1265.21206,1259.882203,1274.696429,1264.68376
